MUNICIPIO,CLASSIFICADOR_TIPO,CLASSIFICADOR,SETOR
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,BRASIL,NITEROI
DIVINOPOLIS,LOGRADOURO,BRASIL,NITEROI
DIVINOPOLIS,COMPLEMENTO_ENDERECO,CANDIDES,NITEROI
DIVINOPOLIS,LOGRADOURO,CASSIANO EUSTAQUIO DE OLIVEIRA,NITEROI
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,CECI,NITEROI
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,CLESO ANTONIO DE OLIVEIRA,NITEROI
DIVINOPOLIS,LOGRADOURO,CORREGO DA DIVISA,PORTO VELHO
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,DANILO PASSOS,NITEROI
DIVINOPOLIS,BAIRRO,DANILO PASSOS I,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,DANILO PASSOS I,NITEROI
DIVINOPOLIS,BAIRRO,DANILO PASSOS II,NITEROI
DIVINOPOLIS,BAIRRO,DEL REY,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,del rey,NITEROI
DIVINOPOLIS,COMPLEMENTO_ENDERECO,del rey,NITEROI
DIVINOPOLIS,BAIRRO,DISTRITO INDUSTRIAL CEL JOVELINO RABELO,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,DISTRITO INDUSTRIAL CEL JOVELINO RABELO,NITEROI
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,DOS ESTADOS,NITEROI
DIVINOPOLIS,BAIRRO,DOUTOR JOSE TOMAZ,NITEROI
DIVINOPOLIS,LOGRADOURO,DURVAL VASCONCELOS,NITEROI
DIVINOPOLIS,BAIRRO,ELDORADO,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,ELDORADO,NITEROI
DIVINOPOLIS,BAIRRO,ESPIRITO SANTO,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,FLORAMAR,NITEROI
DIVINOPOLIS,LOGRADOURO,FRANCISCO CARVALHO,NITEROI
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,FRANCISCO CARVALHO,NITEROI
DIVINOPOLIS,LOGRADOURO,GAFANHOTO,NITEROI
DIVINOPOLIS,LOGRADOURO,GENTIL FILHO,NITEROI
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,GOVERNADOR MAGALHAES PINTO,NITEROI
DIVINOPOLIS,BAIRRO,GRAJAU,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,GRAJAU,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,GRAJAÚ,NITEROI
DIVINOPOLIS,BAIRRO,HALIM SOUKI,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,HALIM SOUKI,NITEROI
DIVINOPOLIS,BAIRRO,ICARAI,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,ICARAI,NITEROI
DIVINOPOLIS,BAIRRO,INTERLAGOS,PORTO VELHO
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,interlagos,PORTO VELHO
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,INTERLAGOS,PORTO VELHO
DIVINOPOLIS,LOGRADOURO_NAO_CADASTRADO,ITAGUARA,NITEROI
DIVINOPOLIS,BAIRRO,ITAI,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,ITAI,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,ITAÍ,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,JARDIM CANDIDES,NITEROI
DIVINOPOLIS,BAIRRO,JARDIM DAS MANSOES,NITEROI
DIVINOPOLIS,BAIRRO,JARDIM DOS CANDIDES,NITEROI
DIVINOPOLIS,BAIRRO_NAO_CADASTRADO,JARDIM DOS CANDIDES,NITEROI
DIVINOPOLIS,BAIRRO,JARDIM FLORAMAR,NITEROI
